"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0063","Nomada","goodeniana","female",1910,6,1,"England","Devon","Littleham","",3.257,2.219,10.096,2.832,"Apidae","kleptoparasite","OUMNH",2.183,"Littleham, Devon, England",50.9930461,-4.2236852,"Nomada goodeniana",11.0965495189041,1.58077082266616,12.513278828017,16.0286812526513
"IGproject0064","Nomada","goodeniana","female",1928,4,21,"England","Devon","Newton Abbot","",3.185,2.372,9.971,2.638,"Apidae","kleptoparasite","OUMNH",2.151,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Nomada goodeniana",11.8731908957281,2.47007710640904,13.6473243336073,17.8318848447251
"IGproject0065","Nomada","goodeniana","female",1991,4,26,"England","Devon","Croyde","",3.347,2.367,10.436,2.807,"Apidae","kleptoparasite","OUMNH",2.208,"Croyde, Devon, England",51.1303398,-4.2215393,"Nomada goodeniana",11.6875316184519,2.7997166718242,13.305392451334,18.0175449004424
"IGproject0066","Nomada","goodeniana","male",1949,4,18,"England","Oxfordshire","Chastleton","",2.36,1.486,7.029,1.959,"Apidae","kleptoparasite","OUMNH",1.666,"Chastleton, Oxfordshire, England",51.9599665,-1.6409204,"Nomada goodeniana",10.820313360769,2.31541699288438,13.1247495199117,17.3452305692517
"IGproject0067","Nomada","goodeniana","female",1937,5,28,"England","Greater London","London","Wimbledon",3.011,2.124,9.116,2.515,"Apidae","kleptoparasite","OUMNH",1.958,"Wimbledon, London, Greater London, England",51.4214787,-0.2064027,"Nomada goodeniana",12.0541072996367,4.62664555027126,16.3306718398959,20.8780699831533
"IGproject0068","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.168,2.243,9.924,2.765,"Apidae","kleptoparasite","OUMNH",2.086,"Torquay, Devon, England",50.4652392,-3.5211361,"Nomada goodeniana",11.9631879270299,3.10783199547573,14.6564038156974,18.2033824743713
"IGproject0069","Nomada","goodeniana","male",1954,4,29,"England","Devon","Lustleigh","",2.715,1.755,8.14,2.184,"Apidae","kleptoparasite","OUMNH",1.857,"Lustleigh, Devon, England",50.6228301,-3.7304463,"Nomada goodeniana",11.0737793351195,3.11761188791543,13.7659808095222,18.1081794872784
"IGproject0070","Nomada","goodeniana","female",1949,4,29,"England","Devon","Exeter","",2.962,1.859,8.801,2.482,"Apidae","kleptoparasite","OUMNH",2.006,"Exeter, Devon, England",50.7256138,-3.5269209,"Nomada goodeniana",11.864167977284,2.44720116510101,14.2545532089492,18.1811802225526
"IGproject0071","Nomada","goodeniana","female",1936,5,27,"England","Berkshire","Slough","",2.93,1.906,9.047,2.397,"Apidae","kleptoparasite","OUMNH",1.938,"Slough, Berkshire, England",51.512103,-0.591276,"Nomada goodeniana",11.5753467238062,3.76584610915875,15.7261712760866,20.5288610215911
"IGproject0072","Nomada","goodeniana","male",1903,5,18,"Wales","Gwynedd","Criccieth","",2.774,1.864,8.704,2.284,"Apidae","kleptoparasite","OUMNH",1.934,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414,"Nomada goodeniana",9.98557661280993,3.14144866610944,13.5300840837002,17.4094594591829
