label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0142,Nomada,ruficornis,male,1917,5,31,England,Devon,Brixham,,2.361,1.502,7.182,1.926,Apidae,kleptoparasite,1.542
IGproject0143,Nomada,ruficornis,male,1900,5,1,England,Dorset,Swanage,,2.387,1.598,7.565,2.022,Apidae,kleptoparasite,1.543
IGproject0144,Nomada,ruficornis,male,1991,,,England,Northamptonshire,Oundle,Ashton Pond,2.739,1.855,8.332,2.213,Apidae,kleptoparasite,1.78
IGproject0145,Nomada,ruficornis,female,1911,5,19,England,Oxfordshire,Oxford,,2.593,1.85,8.871,2.312,Apidae,kleptoparasite,1.679
IGproject0146,Nomada,ruficornis,female,2003,6,13,England,Oxfordshire,Stratton Audley,,2.73,1.82,8.651,2.27,Apidae,kleptoparasite,1.709
IGproject0147,Nomada,ruficornis,male,1990,5,16,England,Cornwall,Camborne,,2.586,1.778,8.24,2.172,Apidae,kleptoparasite,1.732
IGproject0148,Nomada,ruficornis,female,1982,5,14,England,Devon,Tavistock,,2.437,1.572,7.559,2.01,Apidae,kleptoparasite,1.563
IGproject0149,Nomada,ruficornis,male,1976,4,21,England,Devon,Lifton,,2.497,1.746,8.1,2.045,Apidae,kleptoparasite,1.595
IGproject0150,Nomada,ruficornis,female,1989,5,21,England,Wiltshire,Wroughton,Clouts Wood,2.672,1.802,7.999,2.345,Apidae,kleptoparasite,1.746
IGproject0151,Nomada,ruficornis,male,1989,5,7,England,Wiltshire,Swindon,Coate Water Country Park,2.576,1.675,8.02,2.041,Apidae,kleptoparasite,1.682
IGproject0152,Nomada,ruficornis,male,1941,6,4,England,Berkshire,Padworth,,2.648,1.709,8.311,2.233,Apidae,kleptoparasite,1.735
IGproject0153,Nomada,ruficornis,female,1911,5,13,England,West Yorkshire,Keighley,,2.774,1.902,8.397,2.274,Apidae,kleptoparasite,1.81
IGproject0154,Nomada,ruficornis,male,1917,5,5,England,Surrey,Tadworth,Box Hill,2.653,1.911,8.324,2.238,Apidae,kleptoparasite,1.773
IGproject0155,Hylaeus,hyalinatus,male,1904,7,,England,Dorset,Lyme Regis,,1.674,1.226,4.253,1.008,Colletidae,cavity nester,1.103
IGproject0156,Hylaeus,hyalinatus,male,1904,7,,England,Dorset,Lyme Regis,,1.608,1.116,4.138,0.941,Colletidae,cavity nester,1.078
IGproject0157,Hylaeus,hyalinatus,male,1972,7,11,England,Cornwall,East Cornwall,,1.624,1.253,4.194,1.036,Colletidae,cavity nester,1.051
IGproject0158,Hylaeus,hyalinatus,female,1952,8,14,England,Oxfordshire,Tubney,,1.675,1.279,4.507,1.071,Colletidae,cavity nester,1.127
IGproject0159,Hylaeus,hyalinatus,female,1949,6,30,England,Devon,Plymouth,Plymouth Hoe,1.718,1.334,4.751,1.111,Colletidae,cavity nester,1.128
IGproject0160,Hylaeus,hyalinatus,female,1939,7,1,England,Dorset,Swanage,South Haven Point,1.55,1.198,4.142,1.018,Colletidae,cavity nester,1.023
IGproject0161,Hylaeus,hyalinatus,female,1934,6,16,England,Dorset,Swanage,South Haven Point,1.621,1.324,4.492,1.074,Colletidae,cavity nester,1.077
IGproject0162,Hylaeus,hyalinatus,female,1974,7,1,England,Devon,Saunton,,1.689,1.295,4.37,1.031,Colletidae,cavity nester,1.116
IGproject0163,Hylaeus,hyalinatus,female,1928,7,17,England,Dorset,Portland,,1.582,1.199,4.345,1.024,Colletidae,cavity nester,1.073
IGproject0164,Hylaeus,hyalinatus,female,1908,8,14,England,East Sussex,Hellingly,,1.53,1.172,4.18,1.027,Colletidae,cavity nester,1.046
IGproject0165,Hylaeus,hyalinatus,female,2002,7,28,England,Oxfordshire,Oxford,Shotover,1.758,1.351,4.848,1.085,Colletidae,cavity nester,1.151
IGproject0166,Hylaeus,hyalinatus,male,1992,6,19,England,Oxfordshire,,Hitchcopse Pit,1.49,1.137,3.945,0.945,Colletidae,cavity nester,0.999
IGproject0167,Hylaeus,hyalinatus,female,1904,7,9,England,Kent,Walmer,,1.596,1.204,4.398,1.035,Colletidae,cavity nester,1.026
IGproject0168,Hylaeus,hyalinatus,female,1898,7,,Wales,Gwynedd,Criccieth,,1.648,1.27,4.516,1.004,Colletidae,cavity nester,1.087
IGproject0169,Hylaeus,hyalinatus,female,1904,7,8,England,Dorset,Lyme Regis,,1.743,1.403,4.714,1.135,Colletidae,cavity nester,1.162
IGproject0170,Hylaeus,hyalinatus,female,1984,7,13,England,Kent,,Lydd Ranges,1.627,1.252,4.49,1.076,Colletidae,cavity nester,1.078
IGproject0171,Anthidium,manicatum,male,1901,7,,England,Cornwall,Newquay,,4.546,4.087,11.732,3.824,Megachilidae,cavity nester,2.574
